age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
47.0,Private,115613.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
25.0,Private,276552.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,3908.0,0.0,40.0,United-States,<=50K
20.0,Private,163870.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
31.0,Private,160786.0,Assoc-voc,11.0,Divorced,Tech-support,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
31.0,Private,132601.0,Some-college,10.0,Separated,Sales,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
33.0,Private,203488.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Self-emp-inc,43711.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
54.0,Private,243665.0,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
44.0,Private,173736.0,Masters,14.0,Widowed,Prof-specialty,Unmarried,White,Female,0.0,0.0,20.0,United-States,<=50K
31.0,Private,160968.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Private,174789.0,HS-grad,9.0,Never-married,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
20.0,Private,250182.0,HS-grad,9.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,30.0,United-States,<=50K
23.0,Private,175083.0,Some-college,10.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,25.0,United-States,<=50K
42.0,Private,146429.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,Private,202956.0,HS-grad,9.0,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,Private,57424.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,182227.0,Some-college,10.0,Never-married,Other-service,Unmarried,Black,Male,0.0,0.0,40.0,United-States,<=50K
43.0,State-gov,204501.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
37.0,Private,124963.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
46.0,Private,85874.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
54.0,Private,146091.0,Some-college,10.0,Never-married,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
33.0,Private,272671.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
57.0,Self-emp-not-inc,488720.0,HS-grad,9.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,60.0,United-States,<=50K
39.0,Private,147280.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,>50K
